Dataset,SSL_Model,Architecture,Accuracy,F1 Score,ROC AUC,Sensitivity (MDD),Specificity (HC),Accuracy_std,F1_std,ROC_AUC_std,Sensitivity_std,Specificity_std
edaic,data2vec-large,Bi-GRU + Attention,0.6956521739130435,0.4615384615384615,0.7450980392156863,0.5,0.7647058823529411,0.0,0.0,0.0,0.0,0.0
edaic,data2vec-large,Mean Pooling,0.6086956521739131,0.4705882352941176,0.5490196078431373,0.6666666666666666,0.5882352941176471,0.0,0.0,0.0,0.0,0.0
edaic,data2vec-large,NetVLAD,0.2608695652173913,0.4137931034482758,0.5882352941176471,1.0,0.0,0.0,0.0,0.0,0.0,0.0
edaic,data2vec-large,Self-Attention,0.2608695652173913,0.4137931034482758,0.5294117647058824,1.0,0.0,0.0,0.0,0.0,0.0,0.0
edaic,data2vec-large,Statistical Pooling,0.7391304347826086,0.5,0.6470588235294118,0.5,0.8235294117647058,0.0,0.0,0.0,0.0,0.0
edaic,data2vec-large,Transformer Encoder,0.5652173913043478,0.4444444444444444,0.607843137254902,0.6666666666666666,0.5294117647058824,0.0,0.0,0.0,0.0,0.0
edaic,hubert-large,Bi-GRU + Attention,0.3043478260869565,0.4285714285714285,0.5490196078431373,1.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0
edaic,hubert-large,Mean Pooling,0.782608695652174,0.6153846153846154,0.5882352941176471,0.6666666666666666,0.8235294117647058,0.0,0.0,0.0,0.0,0.0
edaic,hubert-large,NetVLAD,0.2608695652173913,0.4137931034482758,0.6274509803921569,1.0,0.0,0.0,0.0,0.0,0.0,0.0
edaic,hubert-large,Self-Attention,0.6521739130434783,0.5,0.6372549019607843,0.6666666666666666,0.6470588235294118,0.0,0.0,0.0,0.0,0.0
edaic,hubert-large,Statistical Pooling,0.391304347826087,0.4615384615384615,0.5490196078431373,1.0,0.1764705882352941,0.0,0.0,0.0,0.0,0.0
edaic,hubert-large,Transformer Encoder,0.7391304347826086,0.0,0.5392156862745098,0.0,1.0,0.0,0.0,0.0,0.0,0.0
